SEX,AGE,ANCESTRY,BlackOlives,GreenOlives,BlueCheese,Avocados,GoatCheese,GlobeArtichoke,SoftCheese,Aubergine,Capers,Asparagus
1,40,CSA,7,8,6,8,6,5,6,8,7,6
0,67,CSA,8,9,6,5,6,9,7,9,6,6
0,58,AMR,8,6,4,9,8,8,3,9,7,9
0,64,AFR,3,6,5,5,7,5,2,6,5,7
1,43,CSA,6,6,7,7,6,6,7,7,6,6
1,40,EAS,6,8,8,8,8,5,6,8,6,7
0,50,AFR,3,3,1,9,5,1,6,3,5,5
1,63,CSA,6,6,9,9,1,8,4,9,2,9
0,41,CSA,9,9,9,9,8,9,9,9,8,9
1,59,MID,9,9,1,9,9,9,8,8,1,9
1,41,CSA,6,9,2,9,7,4,8,7,4,7
1,63,CSA,8,8,8,5,7,5,8,7,7,8
1,65,CSA,7,5,7,8,2,5,5,9,5,9
0,52,AMR,9,9,3,9,9,9,9,9,7,9
0,45,EAS,8,7,9,9,7,7,9,8,9,9
0,56,CSA,8,7,5,5,1,2,4,8,1,4
0,54,MID,8,8,5,7,9,9,5,7,6,6
0,55,AMR,8,8,8,8,8,5,7,8,5,8
1,50,EAS,9,9,9,9,9,5,9,9,9,9
1,60,AFR,5,9,9,9,5,9,8,9,4,9
1,67,CSA,5,7,9,8,6,6,8,7,5,8
1,62,AFR,1,2,3,1,2,4,3,2,8,2
0,52,CSA,8,9,9,9,6,6,9,9,8,7
0,55,EAS,9,7,1,9,1,3,6,8,4,9
0,53,EAS,5,6,7,8,1,6,6,8,5,8
0,56,CSA,7,5,1,1,1,5,5,9,1,1
1,55,EAS,7,7,4,8,6,7,8,9,2,8
0,59,CSA,9,9,9,9,7,6,7,9,7,9
0,42,CSA,5,6,7,9,2,1,3,6,1,6
0,54,AMR,9,9,1,9,5,9,7,9,9,8
1,42,AMR,9,9,9,9,9,9,9,9,9,7
0,47,CSA,9,9,5,9,5,5,5,5,5,5
0,44,EAS,4,3,1,9,1,4,6,7,5,8
0,40,AMR,9,9,8,9,9,5,9,9,7,6
0,64,AMR,9,9,9,9,3,9,9,9,5,9
0,57,CSA,8,9,8,8,8,5,7,8,5,8
0,53,EAS,5,5,1,9,1,5,5,6,5,7
1,42,CSA,9,9,6,5,3,5,8,9,7,8
0,54,AFR,3,3,5,8,4,1,4,9,5,6
0,69,AFR,7,7,4,8,5,8,4,9,7,8
0,51,EAS,7,7,5,3,7,8,7,8,4,8
0,48,AFR,7,7,1,2,6,7,6,2,7,6
1,51,AMR,9,8,7,9,8,9,8,9,7,9
1,55,AMR,1,1,6,4,5,2,6,3,5,5
0,66,AMR,9,9,1,9,1,5,1,9,9,9
0,49,AFR,3,8,4,3,4,2,2,2,4,2
0,57,CSA,6,6,5,8,6,5,5,8,6,8
0,53,EAS,8,8,6,8,8,6,8,7,3,8
1,42,EAS,7,6,8,7,4,5,8,7,6,6
1,50,EAS,1,1,1,7,3,5,8,6,7,6
0,55,CSA,6,6,5,9,9,5,6,9,5,6
0,49,CSA,8,8,2,8,9,8,8,8,6,7
0,52,AFR,8,8,5,8,3,2,6,4,3,6
1,51,CSA,1,2,1,6,6,3,5,2,2,2
1,49,CSA,8,8,6,4,2,5,7,6,7,8
0,48,CSA,8,8,6,8,7,5,8,9,7,9
0,68,CSA,1,1,1,9,1,1,9,7,5,8
0,43,EAS,8,9,7,9,9,5,9,9,8,9
0,48,AFR,6,8,7,9,8,4,8,3,1,7
1,41,MID,6,6,4,7,8,8,7,9,7,9
1,48,EAS,8,9,3,6,6,6,8,8,8,8
0,57,CSA,7,9,1,8,7,3,9,9,1,9
0,44,MID,6,6,7,9,8,6,7,8,2,8
0,49,CSA,3,8,8,8,8,1,6,8,1,8
1,47,MID,8,7,9,9,9,7,8,7,4,8
1,51,AMR,9,8,9,9,9,8,8,9,6,9
0,44,AMR,7,9,1,9,6,1,1,1,1,9
0,41,CSA,9,9,5,9,1,9,5,9,9,8
0,63,CSA,8,8,1,8,1,5,5,7,6,8
0,44,AFR,8,8,6,8,8,7,7,9,7,6
1,61,EAS,1,1,4,1,3,1,5,1,3,1
0,57,AFR,6,9,5,8,6,5,6,5,5,5
0,61,AFR,8,8,1,9,6,8,6,4,6,9
0,62,AFR,3,6,1,8,3,2,3,3,2,4
0,42,AFR,9,8,1,7,4,4,6,5,5,1
0,44,CSA,8,9,8,1,1,5,9,8,8,7
1,48,CSA,9,8,9,8,9,8,9,9,9,9
1,53,MID,9,9,9,5,9,9,6,9,9,9
0,46,MID,9,9,9,8,7,7,9,8,2,9
1,47,AMR,8,7,5,9,5,7,7,8,6,8
0,61,CSA,7,7,7,8,8,8,8,8,8,8
0,45,EAS,7,6,9,7,7,6,6,9,4,7
1,49,MID,8,6,8,8,8,7,7,8,8,9
1,67,CSA,8,7,7,9,6,5,7,7,1,9
1,65,CSA,9,9,9,7,9,8,6,9,5,8
1,61,EAS,8,8,6,6,9,5,8,4,8,3
1,51,CSA,5,9,5,5,9,5,5,9,5,5
1,53,AMR,8,8,7,8,7,8,6,7,7,8
0,51,MID,1,1,3,1,2,1,6,1,1,1
1,56,CSA,8,8,3,8,5,6,3,8,8,8
1,40,CSA,8,8,7,7,6,5,6,7,6,7
1,50,CSA,9,9,2,6,2,5,8,7,3,6
0,49,CSA,8,8,7,8,7,7,8,8,7,8
1,51,CSA,9,9,8,8,1,7,8,9,5,9
0,42,EAS,9,9,6,9,8,9,6,9,9,9
0,58,MID,9,9,5,5,1,5,9,9,5,5
0,51,EAS,8,8,8,9,5,9,5,9,7,9
1,50,CSA,9,9,7,9,2,5,7,9,6,7
1,68,CSA,5,5,6,9,9,9,7,9,5,9
1,51,CSA,9,9,2,9,9,5,9,9,2,8
0,55,EAS,6,5,8,9,5,7,5,9,8,8
0,56,AFR,9,8,3,9,8,5,6,6,6,7
1,62,EAS,2,2,1,6,1,9,1,9,6,6
1,56,AFR,5,6,4,9,5,5,6,5,5,7
1,51,EAS,9,8,1,6,5,3,6,9,4,8
1,55,CSA,9,9,7,9,9,9,9,9,9,9
1,43,AFR,8,7,1,9,7,7,3,4,5,9
1,60,EAS,6,5,7,9,5,5,7,7,5,7
0,48,AFR,8,8,3,8,9,5,7,7,7,6
0,54,EAS,6,7,7,7,7,5,7,8,6,8
1,68,EAS,5,7,6,6,6,5,7,7,2,7
1,50,AMR,7,8,7,4,4,5,7,7,7,6
0,45,AFR,9,9,1,9,1,1,1,9,1,9
0,50,AFR,8,7,1,8,4,1,3,2,5,8
0,66,CSA,9,9,6,8,7,5,5,8,6,7
0,53,AMR,9,9,8,9,8,9,8,9,8,9
1,49,AMR,9,8,9,9,8,9,8,4,8,8
1,46,MID,9,9,7,5,1,5,6,6,7,9
1,46,EAS,8,7,9,7,6,7,7,7,6,8
