Name,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
HTR6,0.0932135,0.07205,0.029662,0.144707,0.103297,0.151821,0.092747,0.571449,1.76376,7.06306,0.053203,0.0690675,3.31572,2.97409,0.6283,0.913949,9.18958,6.18729,0.0597225,0.185036,0.095707,0.038648,0.482348,0.18571,0.321023,0.192465,0.111049,0.120865,0.0796045,0.248048,0.141581,0.087756,0.122922,0.121888,0.022621,0.013518,0.0233095,0.029222,0.0076475,0.014057,0.0,0.070214,0.0980735,0.046369,0.0121155,0.0841245,0.121445,0.013974,0.026419,0.031796,0.0240635,0.412772,0.211231,0.1459,0.150743,0.179486,0.806384,0.305353,0.208846,0.053814,0.079802,0.04373,0.143684,0.550508,0.0642475,0.165908,0.164917,0.136529
HTR1D,0.015062,0.022327,0.016925,0.0,0.017529,0.0,0.205365,0.467493,0.309224,4.02076,0.046861,0.069265,0.720528,0.590279,0.189638,0.553274,8.35228,3.21506,0.182976,0.162124,0.031639,0.018208,0.026309,0.027142,0.066402,0.094614,0.102575,0.086792,0.034067,0.05446,0.022709,0.012973,0.02615,0.117758,0.018498,0.0206155,0.0110435,0.062099,0.0,0.0,0.0,2.74505,0.262153,0.027701,0.0147625,0.401668,0.060595,0.0190165,0.0,0.063707,0.0398935,0.253082,0.156446,0.029779,0.023441,3.25554,0.206432,4.17732,0.035599,0.011436,0.0,0.0,0.0,0.617507,0.032886,0.046076,0.0154885,0.0
CNR2,0.0254205,0.038305,0.012707,0.0271895,0.0295095,0.008352,0.026943,0.003901,0.007098,0.005955,0.009603,0.011194,0.0060755,0.006691,0.00278,0.004816,0.005866,0.006143,0.0,0.005898,0.019716,0.0,14.8238,0.0300395,0.029492,0.009791,0.11022,0.248868,0.307855,0.030968,0.007633,0.0674945,0.007693,0.037863,0.011058,0.0051495,0.0282455,0.044649,0.0662745,0.034532,0.063033,1.16269,0.155511,0.021757,0.0046215,0.018247,0.013274,0.004242,0.0,0.013455,0.009872,0.022767,0.0421725,0.010105,0.014493,2.09178,43.9066,11.3573,18.3323,0.030356,0.047827,0.021753,0.0,0.262034,0.399815,0.022196,0.0242845,1.80151
PTAFR,5.41453,7.41602,3.09114,3.32941,4.98541,1.43033,4.63546,1.45045,0.896534,1.28475,0.626687,0.480053,0.775638,0.858349,1.29042,1.66963,1.15218,1.03203,3.69739,2.73883,3.80755,0.102287,17.5267,2.70855,2.09716,2.96034,4.06179,5.89038,3.92233,3.649,3.7007,7.30875,3.82806,3.45377,0.773633,0.702109,2.2608,1.51067,0.509158,0.867925,1.34362,11.1682,15.7902,3.58928,0.297525,3.07305,0.940926,0.957008,0.799708,0.875382,1.60013,0.916369,2.53801,3.49854,4.52205,7.34643,12.3639,10.3246,26.2138,2.39389,2.6361,1.55671,4.48793,2.37037,2.45017,1.92476,3.39663,68.1749
OPRD1,0.0483925,0.079741,0.038999,0.030956,0.035199,0.013834,0.040338,0.684221,1.49946,1.24492,0.089831,0.0975565,3.57378,3.27652,0.593414,0.449481,1.14065,1.34126,0.0907885,0.110448,0.0705025,0.0065485,0.043098,0.0492395,0.043302,0.390475,0.134542,0.103471,0.0361465,0.301857,0.053625,0.0207945,0.068015,0.026438,0.038244,0.020292,0.0575605,0.035344,0.057705,0.100189,0.056087,0.10844,0.110381,0.033377,0.068042,0.042651,0.047113,0.088251,0.065329,1.76754,0.103165,0.1864,0.089267,0.022873,0.024353,0.19948,0.638437,0.216019,0.17233,0.09741,0.118075,0.124345,0.0936955,0.359847,0.081902,0.030289,0.040741,0.101324
HCRTR1,0.427333,0.444102,0.062533,0.566741,0.345403,0.228409,0.095229,0.138993,0.207251,0.057801,0.1472,0.180611,0.435158,0.323869,0.151146,1.18147,0.070091,0.0590495,0.065635,0.165578,0.46087,0.0,0.038305,0.035136,0.05556,0.164713,0.088257,0.104021,0.083251,0.185645,0.476417,0.035468,0.688562,0.209468,0.11774,0.267839,0.077852,0.946131,0.0130465,0.0,0.0,0.143573,0.1149,0.042401,0.213399,0.107316,0.077756,0.0427425,0.025944,1.61186,0.067724,1.04821,0.0962575,0.077563,0.0780815,0.108632,0.120567,0.142844,0.05189,0.064813,0.098346,0.0383,0.32441,0.202263,1.45795,0.154522,0.0450965,0.017511
PTGFR,14.9464,3.02275,3.02721,1.76414,6.65354,9.61021,9.47138,0.45549,0.423657,0.18626,0.037727,0.0709285,0.262383,0.299114,0.752267,1.59219,0.296987,0.178922,0.212481,0.137586,8.48269,28.067,0.016048,6.55731,3.7964,2.31545,1.90637,0.957622,0.344557,2.33984,9.22832,0.650211,3.13491,11.722,0.984355,0.262114,1.51208,1.24039,0.595824,0.633631,0.650554,0.703258,2.24814,5.40105,0.975884,42.1875,3.99546,0.505898,0.27245,1.68347,0.463553,0.221634,1.80078,5.47489,7.36325,3.10247,4.74645,3.07419,0.364413,1.00782,1.07129,0.206988,2.3181,0.747577,1.20172,17.2521,6.32754,0.127749
LPAR3,0.035488,0.030853,0.895406,0.0550605,0.0602705,0.026291,2.0195,1.493,2.90458,0.598479,0.232023,0.268045,3.58588,3.42074,2.50543,0.230702,1.35113,0.937156,0.139639,0.034922,0.193284,1.23753,0.102847,3.47276,0.474363,0.028247,0.630717,0.862111,1.1246,0.061702,0.025281,9.82119,0.024548,2.38469,9.63539,3.10696,0.0267385,0.075536,0.019247,0.017325,0.0,0.0815445,2.26458,6.15146,0.009478,0.034803,2.02265,5.43034,4.32005,1.08492,4.66825,0.074914,14.9864,6.84033,6.16336,0.179278,0.37294,0.191285,0.251484,0.077266,0.044777,0.027351,0.010484,17.7603,0.0827895,0.053201,9.72776,0.06939
S1PR1,120.873,89.2507,11.6589,17.3102,35.0828,27.4002,22.4225,28.7457,27.6721,32.3698,16.2106,28.2891,27.1931,23.3764,17.4504,19.1209,32.8526,26.4111,12.9103,27.8556,89.9929,20.737,28.7218,12.8161,21.7382,18.7195,13.3786,7.56757,2.97828,6.96524,25.2266,7.39634,25.2077,24.462,24.6788,22.1901,7.72586,12.6513,4.37292,4.21859,6.36237,18.4388,94.761,14.7553,12.4965,47.1546,7.3601,3.682,1.9025,4.65388,3.7198,8.47495,13.6993,11.0019,17.0131,21.9645,25.0744,18.7693,46.9894,12.4382,9.46905,5.43928,9.97008,3.15766,46.1611,33.3357,17.7273,11.5542
ADORA3,4.31665,3.91085,8.96627,4.76652,4.7177,2.43178,5.64686,4.10733,2.20045,2.77801,1.13606,0.801046,1.47352,1.65102,3.92765,4.7198,2.49114,1.91368,17.4285,6.45872,2.70624,0.0,0.162079,2.46535,3.26762,3.92576,4.59547,9.47774,5.97636,5.35531,3.8141,1.30901,3.57013,3.9584,1.81674,0.742888,0.749956,0.457206,0.5191,0.705386,1.60567,12.0465,4.47042,2.88648,0.26618,9.57926,1.93984,0.800843,0.842885,1.41237,1.34697,2.60511,3.59743,0.825555,0.88751,7.75574,8.9861,9.44483,6.06539,1.9936,2.6169,1.574,3.31242,2.1194,1.93455,2.55637,1.95442,3.40414
ADORA1,2.33107,3.36949,0.219349,0.304728,0.974532,0.487083,0.893803,32.2534,28.041,30.3052,27.1248,27.8152,37.855,41.1961,29.1057,21.9685,29.6654,32.0867,47.9242,33.164,3.98759,0.321513,0.039106,0.706589,1.54719,0.463264,0.866499,0.758031,0.511122,0.357735,0.882496,0.83118,0.673818,1.49622,7.90976,3.7124,6.65495,3.0269,0.163025,0.089558,0.087973,2.16217,1.67838,3.87051,0.742251,0.729518,0.249245,6.65771,4.80333,2.24589,5.39761,1.69863,1.15267,2.94724,4.97558,1.01763,0.945857,0.884279,7.40978,0.732575,0.450458,0.352466,0.440947,36.7937,3.46815,1.01633,0.772112,0.058952
