Name,Category,Canonical SMILES,Isomeric SMILES,IUPAC
Quipazine,Piperazine,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,2-piperazin-1-ylquinoline
MK212,Piperazine,C1CN(CCN1)C2=CN=CC(=N2)Cl,C1CN(CCN1)C2=CN=CC(=N2)Cl,2-chloro-6-piperazin-1-ylpyrazine
"N,N-Dimethyltryptamine",Tryptamine,CN(C)CCC1=CNC2=CC=CC=C21,CN(C)CCC1=CNC2=CC=CC=C21,"2-(1H-indol-3-yl)-N,N-dimethylethanamine"
Psilocin,Tryptamine,CN(C)CCC1=CNC2=C1C(=CC=C2)O,CN(C)CCC1=CNC2=C1C(=CC=C2)O,3-[2-(dimethylamino)ethyl]-1H-indol-4-ol
Psilocybin,Tryptamine,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,[3-[2-(dimethylamino)ethyl]-1H-indol-4-yl] dihydrogen phosphate
25B-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Br)OC,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Br)OC,"2-(4-bromo-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
Bromocriptine,Lysergamide,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,"(6aR,9R)-5-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Ergotamine,Lysergamide,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,"(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Lisuride,Lysergamide,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,"3-[(6aR,9S)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea"
5HTP,Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N,(2S)-2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid
"5-methoxy-N,N-dimethyltryptamine",Tryptamine,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,"2-(5-methoxy-1H-indol-3-yl)-N,N-dimethylethanamine"
Dopamine,Phenethylamine,C1=CC(=C(C=C1CCN)O)O,C1=CC(=C(C=C1CCN)O)O,"4-(2-aminoethyl)benzene-1,2-diol"
