Receptor,Transducer,X4_AcO_MALT,X5_MeO_DMT,X5_MeO_DALT,X5_MeO_DiPT,X5_MeO_EiPT,N_N_DMT,X5_OH_DMT,Psilocin,Psilocybin,Aleph_1,Allylescaline,Bromo_DragonFLY,BL_3912A,CPM,X25C_NBOMe,Escaline,Isoproscaline,X25I_NBMD,X25I_NBOMe,X5_MAPDB,MAL,Mescaline,TCB_2,X25T7_NBOMe,AL_LAD,BU_LAD,DAM_57,DIPLA,DMCPA,DOI,DOM,ETH_LAD,LAMPA,LSD,LSZ,METALLAD,MDMA,Methylone,Nor_LSD,Lisuride
5HT1A,Gi1,38.93,96.32,96.61,77.95,77.18,38.65,99.93,42.86,0,0,15.89,44.62,0,0,0,23.09,41.9,18.62,24.53,0,0,15.39,28.36,22,76.63,46.75,93.72,74.41,0,0,36.38,103.43,76.31,80.52,76.01,39.45,20.61,36.57,94.59,58.31
5HT1A,Gi2,38.28,83.8,87.85,78.29,76.1,59.11,120.83,69.11,26.73,0,0,0,0,0,0,40.03,39.34,27.2,45.37,18.35,26.68,25.43,28.03,24.47,72.39,56.42,94.5,82.06,0,0,43.3900487076795,93.0510408700902,70.7322419438212,77.5900437653108,74.5686925596306,60.5517879286075,31.3527699858502,20.61,89.9,57.85
5HT1A,Gi3,38.7540063984039,89.7294575201457,75.6944404244828,44.0750851219154,45.2931149670035,44.0292201067084,92.637334527726,34.7628673852433,19.2082920577645,0,36.6949837987852,55.2990466588554,37.1932300706206,25.4116000476788,0,0,0,0,0,0,28.0460940484788,25.7239039871468,44.7768657149819,31.9913149669341,82.7341434238729,43.9810306371955,89.4239697086546,73.8165673556002,24.4906313207794,0,52.6512206780376,106.567578798855,84.8093260496386,95.5681506851688,85.631261791887,75.181785740688,48.1930384838901,45.7506371053986,90.1875142825542,53.3643472986273
5HT1A,GoA,50.677696004178,99.9756440433372,94.318929210887,89.2776884271329,82.2930469182195,71.7855769871415,103.550890841879,62.2234770642435,0,0,0,63.8138527983406,0,0,0,0,0,0,0,0,0,0,52.7535996256866,0,92.8684660347538,66.882070867522,102.239992558467,95.5418139947736,0,0,22.6639465503792,101.049671306533,91.9951244962921,91.8289688400617,89.557251913895,76.2906399468506,0,0,100.749833315786,89.4744332652067
5HT1A,GoB,40.3759740663334,97.4294980054035,96.0641440224636,89.1345799933154,90.1440596295899,66.8761953446696,102.961886902099,61.0023851612581,0,0,31.4338491961057,55.332645894603,22.2207843841589,22.4134284409559,13.0476007673463,0,33.9451101087101,23.594309163192,0,0,0,0,54.4642460116055,0,90.9883981060615,68.8663733059546,99.513136955968,97.0204907326399,0,0,0,99.2673915433149,86.5995861236096,85.5979217918755,85.3728904791028,74.417447858368,0,0,92.4392241408814,76.5620860665217
5HT1A,Gz,0,94.6841171301189,86.4767574593342,86.6591523195632,83.4572278757566,34.9718400821318,100.789228811994,27.8655199469365,0,0,13.7365540903452,0,0,0,0,0,0,0,0,0,0,0,0,0,87.3499406297416,40.5113078411041,97.5774899685384,79.5222203955616,0,0,0,111.205454075794,74.2054700193139,84.0483853876862,84.5889202091037,50.0429747670827,0,0,112.586602458205,75.0177372425538
5HT1B,Gi1,126.170618199091,122.19359602814001,115.207243013598,132.705797303196,115.390250172364,111.906942082898,111.641887644415,108.752953307971,90.2138044622955,76.3056634456361,110.187332592881,105.823671928596,114.824793057994,106.637121206941,0,82.5905362297639,97.924608109477,78.4424462671604,0,64.7452666494726,79.6115705539752,101.313000190905,90.7527897092086,0,92.7783430459843,100.611985494142,106.210689225889,103.973108853456,100.276480905078,96.2372952602694,102.409711289674,112.879385758756,107.834577228222,110.641669428259,110.40959828963,100.411772989359,72.4773545089078,78.3850930240418,101.378379164902,102.606825804775
5HT1B,Gi2,115.011214447558,120.548803292448,114.478710599942,134.382338303947,125.562000354986,115.311794183812,112.825173204281,112.15047633068,111.121117687901,85.2858639802061,112.480760305768,97.1187929900394,91.4933128262881,120.07275170626,0,86.1947554776502,92.1258151722166,75.0910179865986,0,64.9003738822998,75.2019056526761,89.3381393602426,87.8421423806565,0,99.9831168533336,83.5074900592485,107.565919327143,99.4626859222797,89.7312791847368,86.517663301366,94.3439589575977,105.157246806363,102.987306820314,100.591278439494,91.5772124852135,103.856775126321,89.7621604042993,89.2904663661818,106.516792038848,106.639490142632
5HT1B,Gi3,120.713229241782,118.73735652654,112.07325890547,119.168471166423,115.319153718112,107.100657939234,105.687445793376,108.786641386696,109.791843744642,77.2511263984899,111.181721796172,103.175059583936,0,105.694796223011,0,85.7436916645497,95.1977631586762,84.2392967606749,0,78.9690067097566,80.3505522395973,100.014982343945,95.2074029318405,0,100.26278735718,118.400702219362,132.088574558548,119.625294016174,121.080927775257,114.972428979643,89.7202284957661,100.160209530741,99.4610283555837,96.0218491358641,92.3320756912218,104.506387789038,81.6048274591713,86.1107832202567,101.631486956747,101.167171874117
5HT1B,GoA,120.903008650479,133.393686457676,112.544246686549,110.932354720793,113.138923065204,118.773509330992,123.821682858452,118.013351530921,109.356369222245,95.8565827764064,97.1111517610426,86.8946852088221,100.686480026877,98.3990697564426,0,98.100227974813,100.464456742742,70.6359617322115,0,60.5673399700492,84.9158668069819,100.069768606529,99.8725449582884,0,112.451099748809,111.035603085323,129.876169457514,116.110776476633,113.983429221875,117.925870352796,93.2870368316881,120.23356655077001,111.047237126135,114.351514710318,106.515674547969,102.37819699969,79.6082696397069,68.9287564231864,105.297100036256,110.949095560379
